name,text
휴스턴 문파..ㅎㅎ4️⃣번 이낙연만 꿈구는5️⃣소리,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
흰머리 소년,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
타티안,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
양키,위버스개짜증난다..🤬 https://t.co/fvbTzAzywK
❄입시반동결 종이 ❄,RT @218_201_m: 혹시 일본남성성우들은 불륜을 하지않으면 죽는병이있습니까💢🤬🤮❓️⁉️⁉️⁉️⁉️
마하1321,심판 집에가서 100번 돌려 봐라 🤬🤬🤬
이상한나라지구인,RT @righteously_3: 이미 입단속은 끝났고… 자기부정오지네…🤬 https://t.co/Kvekf6bl6X
ᄒ수니지니,RT @righteously_3: 이미 입단속은 끝났고… 자기부정오지네…🤬 https://t.co/Kvekf6bl6X
수현,RT @righteously_3: 이미 입단속은 끝났고… 자기부정오지네…🤬 https://t.co/Kvekf6bl6X
doriii,"RT @gangmin23458643: 이런 각오로 문프를 보좌했음
벌써 남북통일된 나라에서
천조국 밀어내고 전세계가
한국 눈치 보며 살 것 같다
😠😡🤬👿 https://t.co/flkfWEu1q1"
vivalavida,"RT @Mohaniiiiii: 아... 토나와요. 🤬
진짜 돌 18만개 던지고 싶음. https://t.co/1kpzRXg7Gx"
흐르는 경계 위의 삶🦋,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
변연중,RT @Mohaniiiiii: 너나 쳐묵해 🤬 https://t.co/b86BNu05yQ
복수초🌱🌱 이니 생각은 곧 현실이 된다.,"RT @l_a4u: 미쳤다🤬
[단독]아태협, 통일부 보여주려 ‘대북사업 합의서’ 위조 (출처 : 채널A | 네이버 뉴스) https://t.co/ddQQJQicEY
아태평화교류협회가 대북 사업을 추진하면서 북측과의 합의서를 위조한 정황이 포착됐습니다…"
__야옹이와똥꼬/캡티니와로비니🌻,"RT @righteously_3: “나하고 통화를 했어요?” 
날리면 저리가라네….🤬 https://t.co/LPkLMAY4uQ"
zet lee,RT @righteously_3: 이미 입단속은 끝났고… 자기부정오지네…🤬 https://t.co/Kvekf6bl6X
