name,text
⋆°•. 𝓎𝒶𝒶 .•°⋆,"RT @bokpurr: 이 표정 완전 그건데
지구사람들은 정말로 잔인하구나🥹🥹 https://t.co/u6fpIFreDg"
10*ㅁ*V,"RT @torvaa: 바다리님 인스타 
“텐만 할 수 있는 거”
“텐이 제일 잘 하는 거”
🥹
그대로 전달 되었어요 멋진 작업 고맙습니다 https://t.co/qrh99AafNT"
제이,"RT @mong_stera: 몬베베 우리 좀만 더 힘내요!!!
투표 하루에 한번씩 하고 해시태그 단 글마다 알티 꼭 하자구요‼️나 애들 상 안겨주고 싶어,,🥹
#MAMAVOTE #MONSTAX #MONSTA_X https://t.co/l6tHXGaC…"
หัวใจมุตุ๋น 𝔹𝕆ℝℕ ℙ𝕀ℕ𝕂,RT @wuvrubyjane: Almost like a mirror 하고 웃는거 들어줘🥹 https://t.co/P814zMbE9d
🌸Girls Crush🍒💋,RT @tiFfazzang: 이여자 걱정하는 눈이 너무 예뻐요..🥹 https://t.co/g7is71SuAH
jrey20 💜JIMTOBER💛,"RT @101jm3: 지밍님 내일이라도 라이브 켜주세요미🥹

JIMIN JIMIN, With you
지민지민 위드유 좋아요
#WithYou by #JIMIN #BTSJIMIN of #BTS @BTS_twt"
chika,RT @D_NA_2: [난홒] 혼례복으로 그리고 싶었는데 기력이..🥹 https://t.co/zBgYSWvn7j
Leafleopard,"RT @Show_you_No_Job: 스바세카 네쿠시키 🥹 

#TWEWY #Neshiki / © CM_CM_CM3 © be5ykk https://t.co/vbb38tJ3V2"
채면,"RT @jjangjjxy: 221026 케플러 위드뮤 영통팬싸

나 왤케 채현이한테 아기취급 당하는 거야?
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
완전 경청강쥐 🥹🫶🏻

#케플러 #Kep1er #김채현 #CHAEHYUN https://t.co/hRUUn…"
뽀또,"RT @bird_eel: #MAMAVOTE #theboyz 

행운의 6선우••
3분께 선우 미공포 나눔합니당.ᐟ.ᐟ 
배송비 부담❌ RT만 해주세요➰🫶🏻
마마/지니 투표 열씨미 하깅,,,🥹🔜🍀

#RT이벤트 https://t.co/SdcqGGXxWu"
Payo ♡ 파요,RT @jinjinologist: 아스트로 #진진: all I ever need 🥹🫶🏻 https://t.co/ZcbVda4V9x
보노농😶‍🌫️,RT @sun_ni01: 이거 한 사람이라고?? 🥹💞 https://t.co/g67ic9owLS
삼에러,"RT @gamanando_jc: #rt이벵

🎊우리 큰박 서함군의 생일기념 소소한 알티이벵을 진행합니다🥹🫶🏻🎊

🎁코닥미니샷2레트로폴라로이드카메라+ 카트리지 68매포함

🎉당발 : 22.10.28 늦은 3:33

🧸국내주소지한정, 개인정보(받으실 분…"
Stone Hands,"RT @jtbc_K909: [#K909맛보기]

극락행 열차가 도착했습니다 🚂

휘파람 장인 #민니 의 'Only One'에
MC #보아 의 목소리...?🥹

오직 #K909 에서만 볼 수 있는 모먼트를
먼저 즐겨보세요🫶🏻 

▶️ https://t…"
uwu ♡,"RT @bokpurr: 이 표정 완전 그건데
지구사람들은 정말로 잔인하구나🥹🥹 https://t.co/u6fpIFreDg"
m.,RT @dock_ga3: 펀굴파포..🥹 https://t.co/23ioxkRpvM
slow 채현,RT @neogulbass: 원상이가 여려서 의기소침해지거나 곡을써가지고보냈는데 안들은거같을땐 대놓고삐지곤한대. 근데 그럴때마다 멤버들이 그런 성격아닌데도 일부러 얘기 더 해주려고 하고 챙겨주려고 하는 모습들이 뭔가 미간하면서도 고맙대 🥹🥹 그럴때…
옹심,RT @jUnerentecU: 보고싶어 런쥔아🦊🥹 https://t.co/k7Q01W3JaY
🤞🏻,"RT @1ikesun: 아침에 봐도 충격적이야 .. 왜케잘생겻어 🥹
#MAMAVOTE #theboyz 
 https://t.co/1cSdml8aIt"
έʙ토깽🐰,"어머 샘❤️ 감동이에열🥹
언제든 뎀 주시면 제가 달려갈게영🏃🏻‍♀️
우리 어서 친해져요🤍☺️ https://t.co/9N20xcmO7O"
짐이,"RT @limegreen_pic: 20221026. #헤르츠클란
&lt; 스페셜커튼콜 온더로드ver. &gt; 

🥹

싱클레어 #최호승 배우님 https://t.co/5kV9PXD0Om"
뎅🍋🦋,"RT @_Go_IN_: 221026 펜밤라 성진이 퇴근!!🐻💖
차에 타면서 안뇽~ 빠잉! 해주는 거 너무 귀여움..🥹🥹🥹🥹 
#데이식스 #성진 https://t.co/Mxn72GNYFF"
딸기🍓🍮,RT @InTheWinter1206: 호쫓🐯 너무 행복했어요 🥹늘 응원할게요🥰 #재찬 #박재찬 https://t.co/uxdu9whXkI
kin,RT @209sable: 쟈니야 연습할때도 너무 너무 멋있다 🥹💞 https://t.co/24Tx9XtQJg
뿡빵존버끝,"감사합니다 소라야 부탁해 난 널 믿어...
🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹"
팥버,"RT @jinjeobhotguy: 엔하이픈너무귀여워~~~,,, 엔하이픈너무사랑해🥹🥹🥹🫶🫶🫶🫶

#ENHYPEN https://t.co/z4Ffh1T1vc"
하루🌸,"RT @dkz_dy: #재찬 #JAECHAN 
호쫓 막방🥹 
아리들 너무 고마워요~~ 사랑해🥰 https://t.co/uPEJbe7EMy"
もも ⚮̈ 𓂃 𓂃 𓂃 🍑🍒,"RT @_EGG_77: 🎉🍒🫂🍑🎊
늦었지만.. 생일축하해🥹🫶

#YUTA #유타 #JAEHYUN #재현 #정재현
#LikeAButterflyYUTA
#HAPPYYUTADAY
#中本悠太くん日本の誇りだよ
#나비처럼_날아온_10월의_유타 https://t…"
여녕,"RT @MOA_iS2i: #RT이벤트 #알티추첨

사고 싶은데 돈 없어서 굿즈 못 사는 깅들을 위해 들고 왔어요😚💕

팔로워 한정 RT추첨 네 분 원하시는 거 하나씩 드려요!!
트친해 주셔서 감사합니당🥹💖

①미드썸머(미개봉)
②지비지비 세트
③블루…"
Maria Luisa Redondo,"RT @Mewem21: 너무 아름답다아아아 ✨️🥹🫶🏻❤️‍🔥
@MSuppasit #MewSuppasit
#TurnOffTheAlarm #มิวศุภศิษฏ์ 
#TurnOffTheAlarm_MewSuppasit https://t.co/7zZL1gi9…"
liliy🌼replay the aura,RT @CHHong55: 스스로의 벽을 깨고싶다는 생각에 홀로 도전했다는 주찬이🥹 https://t.co/X19Fw2yN5B
ロタタタタタタタタタタ,"RT @zzaeyoung_: #MAMAVOTE #fromis9
12시 지난김에 올리구 자야지..~
알티 많이많이 해주세요~~🥹💚🍀 https://t.co/5sCe7zyDEc"
dlgukhwa8520,"RT @ciii_real: 감색의 더블버튼 수트와 포레 진짜 너무 예쁘네🥹 짙은 감색의 수트와 깔끔한 넥타이는 무겁고 절제된 느낌을 풍기는데, 더블버튼과 피크드라펠은 화려한 느낌을 주는 디테일. 색과 디테일의 대조적 조화가 오히려 예뿜. 사실 포레+…"
틀익스,RT @Foryou_trix: 쌩뚱 맞지만 넘 이쁘게 나와서🥹🥹💙 https://t.co/HZuSNkVDBI
１３０（いさお）,"RT @showchampion1: 안티티티 프래자일🎶
안티티티 프래자일🎶
오늘 짱세라핌 컴백 무대뿐만 아니라‼️
근세라핌냥이의 근육 자랑 
줍줍타임도 준비 완료🥹💗💗 
슈퍼 루키 짱세라핌 보러 카즈하고오~! 

#르세라핌 #LE_SSERAFIM 
#…"
Kafhi,"RT @BoraBoraV95: #BTSV #TAEHYUNG #태형 
울 태형이 🥹🤎 https://t.co/EFPDfikF3P"
